"anomaly_score","mean_length"
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5496990020171663,10
0.5496990020171663,10
0.5496990020171663,10
0.5496990020171663,10
0.5496990020171663,10
0.5496990020171663,10
0.5496990020171663,10
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5496990020171663,10
0.5496990020171663,10
0.5496990020171663,10
0.5496990020171663,10
0.5496990020171663,10
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.48769683616385684,12
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5177706675027097,11
0.5496990020171663,10
0.5496990020171663,10
0.5496990020171663,10
0.5496990020171663,10
0.5496990020171663,10
